code_muni,name,state,lat,lon
2504074,Caraúbas,PB,-7.7846551,-36.4940663337662
2202539,Caraúbas do Piauí,PI,-3.58701415,-41.854507452590205
2906907,Caravelas,BA,-17.633778900000003,-39.74500946253701
4304705,Carazinho,RS,-28.2738326,-52.90490970161092
3113503,Carbonita,MG,-17.512547,-43.046689415136925
2907004,Cardeal da Silva,BA,-12.044494399999998,-37.93866538718801
3510708,Cardoso,SP,-20.067419949999994,-49.93268712292215
3301157,Cardoso Moreira,RJ,-21.53666645,-41.50299617818701
3113602,Careaçu,MG,-22.071915500000003,-45.663336179606944
1301100,Careiro,AM,-3.7473119500000003,-60.14840892922423
1301159,Careiro da Várzea,AM,-3.3054410499999998,-59.55602958924648
3201308,Cariacica,ES,-20.3072633,-40.441510674049596
2303006,Caridade,CE,-4.195312299999999,-39.15630529228444
2202554,Caridade do Piauí,PI,-7.709968249999999,-40.94618756449701
2907103,Carinhanha,BA,-14.025732349999998,-43.87045194328462
2801405,Carira,SE,-10.352219900000001,-37.682786112097986
2303105,Cariré,CE,-3.9490551,-40.52540604170946
2303204,Caririaçu,CE,-7.021264800000001,-39.30461008962657
1703867,Cariri do Tocantins,TO,-11.9468223,-49.13963143053333
2303303,Cariús,CE,-6.626885249999999,-39.50429713086296
5102793,Carlinda,MT,-10.06503685,-55.748574660321374
4104709,Carlópolis,PR,-23.457179149999995,-49.73168572942252
4304804,Carlos Barbosa,RS,-29.31669925,-51.49332994416305
3113701,Carlos Chagas,MG,-17.667896499999998,-40.88165342234507
4304853,Carlos Gomes,RS,-27.703136,-51.93537218697938
3113800,Carmésia,MG,-19.055603999999995,-43.1625830328705
3301207,Carmo,RJ,-21.8921796,-42.573171372822465
3113909,Carmo da Cachoeira,MG,-21.453956000000005,-45.18007669914049
3114006,Carmo da Mata,MG,-20.561025,-44.88860897826086
3114105,Carmo de Minas,MG,-22.088368,-45.1702362173766
3114204,Carmo do Cajuru,MG,-20.19519855,-44.69870296124856
3114303,Carmo do Paranaíba,MG,-18.8773645,-46.12574723159807
3114402,Carmo do Rio Claro,MG,-20.994585,-46.14021952870813
5205000,Carmo do Rio Verde,GO,-15.419124449999998,-49.73740953315233
1703883,Carmolândia,TO,-7.0370639,-48.374602694200696
2801504,Carmópolis,SE,-10.668031849999998,-36.96994067875603
3114501,Carmópolis de Minas,MG,-20.558305999999995,-44.66959190316322
2603900,Carnaíba,PE,-7.79615245,-37.764318518774644
2402402,Carnaúba dos Dantas,RN,-6.552812099999999,-36.55470897693479
2402501,Carnaubais,RN,-5.267392299999999,-36.83791558388223
2303402,Carnaubal,CE,-4.1400112,-41.007269344016315
2603926,Carnaubeira da Penha,PE,-8.426862499999999,-38.71658341705606
3114550,Carneirinho,MG,-19.77604,-50.80409827183188
2701803,Carneiros,AL,-9.46784885,-37.37446329319185
1400233,Caroebe,RR,0.96239085,-59.325772590753175
2102804,Carolina,MA,-7.452833449999999,-47.306091429421215
2604007,Carpina,PE,-7.8265628000000005,-35.25874957712421
3114600,Carrancas,MG,-21.4760305,-44.61057953042453
2504108,Carrapateira,PB,-7.048456249999999,-38.33812715638652
1703891,Carrasco Bonito,TO,-5.330646799999999,-48.00414567541763
2604106,Caruaru,PE,-8.1875376,-36.0340694407072
2102903,Carutapera,MA,-1.39746895,-46.04557270904045
3114709,Carvalhópolis,MG,-21.772762999999998,-45.839696678614715
3114808,Carvalhos,MG,-22.0281455,-44.503531041937215
3510807,Casa Branca,SP,-21.789427699999997,-47.07181332779517
3114907,Casa Grande,MG,-20.839721,-43.9387701427423
2907202,Casa Nova,BA,-9.2368101,-41.26260094519097
4304903,Casca,RS,-28.591064149999998,-51.97480939794721
3115003,Cascalho Rico,MG,-18.565399999999997,-47.869387083333336
4104808,Cascavel,PR,-25.05756195,-53.300881950618745
2303501,Cascavel,CE,-4.25351055,-38.29824223370241
1703909,Caseara,TO,-9.374463250000002,-49.84969691927746
4304952,Caseiros,RS,-28.236991599999996,-51.736499905022924
3301306,Casimiro de Abreu,RJ,-22.47561545,-42.152223464508396
2604155,Casinhas,PE,-7.761748149999999,-35.72299573578911
2504157,Casserengue,PB,-6.765654049999999,-35.852195705940964
3115102,Cássia,MG,-20.55880465,-46.92127363973512
3510906,Cássia dos Coqueiros,SP,-21.26703035,-47.145115784977314
5002902,Cassilândia,MS,-19.059553799999996,-52.16985207711737
1502400,Castanhal,PA,-1.2641765999999999,-47.93688425836872
5102850,Castanheira,MT,-10.934259599999999,-58.63992342287622
1100908,Castanheiras,RO,-11.4384273,-61.895529866373685
5205059,Castelândia,GO,-18.154837699999998,-50.298981133354644
3201407,Castelo,ES,-20.537676150000003,-41.19766613222255
2202604,Castelo do Piauí,PI,-5.30650975,-41.56174535008359
3511003,Castilho,SP,-20.896568449999997,-51.53519224366819
4104907,Castro,PR,-24.806728749999998,-49.832734414608936
2907301,Castro Alves,BA,-12.724254849999998,-39.36783030770847
3115300,Cataguases,MG,-21.3320205,-42.69863735113002
5205109,Catalão,GO,-17.978605450000003,-47.720486475255754
3511102,Catanduva,SP,-21.12933855,-48.98119500818467
4105003,Catanduvas,PR,-25.234047749999995,-53.13058352467606
4204004,Catanduvas,SC,-27.030855249999995,-51.67179066170132
2303600,Catarina,CE,-6.240941299999999,-39.90780802918663
3115359,Catas Altas,MG,-20.068948,-43.40211202640545
3115409,Catas Altas da Noruega,MG,-20.6672405,-43.494793573465316
2604205,Catende,PE,-8.6900588,-35.74848122569037
3511201,Catiguá,SP,-21.06899,-49.05269997673419
2504207,Catingueira,PB,-7.141419450000001,-37.59892451574546
2907400,Catolândia,BA,-12.276116599999998,-44.71867727335551
2504306,Catolé do Rocha,PB,-6.33101015,-37.72496541093938
2907509,Catu,BA,-12.325431150000002,-38.404164404695706
4305009,Catuípe,RS,-28.176726599999995,-54.02655890631371
3115458,Catuji,MG,-17.366038000000003,-41.474576345680205
2303659,Catunda,CE,-4.631967749999999,-40.21207911709619
5205208,Caturaí,GO,-16.454726,-49.57057551723305
2907558,Caturama,BA,-13.2307615,-42.313324637343136
2504355,Caturité,PB,-7.42279865,-36.05939111169644
3115474,Catuti,MG,-15.341066000000001,-43.06203922082379
2303709,Caucaia,CE,-3.7715885499999997,-38.7904425233657
5205307,Cavalcante,GO,-13.641161750000002,-47.71506156890787
3115508,Caxambu,MG,-21.992555499999998,-44.940330151063826
4204103,Caxambu do Sul,SC,-27.1515677,-52.91250688301092
2103000,Caxias,MA,-4.8474888499999995,-43.318077957446
4305108,Caxias do Sul,RS,-29.07660895,-51.02661141850193
2202653,Caxingó,PI,-3.3914640499999997,-41.84465950173232
2402600,Ceará-Mirim,RN,-5.597015149999999,-35.37192972575437
2103109,Cedral,MA,-1.97682965,-44.56116448523072
3511300,Cedral,SP,-20.91682215,-49.28566040095363
2303808,Cedro,CE,-6.57846885,-39.08639855467065
2604304,Cedro,PE,-7.727158299999999,-39.201102536864155
2801603,Cedro de São João,SE,-10.2732098,-36.895205923908364
3115607,Cedro do Abaeté,MG,-19.107023500000004,-45.706136145144626
4204152,Celso Ramos,SC,-27.65257805,-51.284504741434766
4305116,Centenário,RS,-27.7615276,-51.99007580577055
1704105,Centenário,TO,-9.075163799999999,-47.437415524821134
4105102,Centenário do Sul,PR,-22.794366849999996,-51.55748301054773
2907608,Central,BA,-11.14137375,-42.12256485680949
3115706,Central de Minas,MG,-18.7755145,-41.28923876598934
2103125,Central do Maranhão,MA,-2.2553519,-44.834335801054586
3115805,Centralina,MG,-18.654897149999996,-49.15765640501861
2103158,Centro do Guilherme,MA,-2.4131859,-46.11531015833333
2103174,Centro Novo do Maranhão,MA,-3.0682576499999996,-46.476895223802686
1100056,Cerejeiras,RO,-13.183968700000001,-61.204777958881465
5205406,Ceres,GO,-15.2732066,-49.65927216188636
3511409,Cerqueira César,SP,-23.071744900000002,-49.1597894937658
3511508,Cerquilho,SP,-23.18741885,-47.748755751390945
4305124,Cerrito,RS,-31.7490015,-52.81095939408308
4105201,Cerro Azul,PR,-24.884714099999997,-49.24464238034314
4305132,Cerro Branco,RS,-29.62652875,-52.99977644333318
2402709,Cerro Corá,RN,-5.973608249999999,-36.31071928415555
4305157,Cerro Grande,RS,-27.628847899999997,-53.16029311825646
4305173,Cerro Grande do Sul,RS,-30.578270599999996,-51.77764320863073
4305207,Cerro Largo,RS,-28.13586015,-54.74552104016108
4204178,Cerro Negro,SC,-27.7671842,-50.90244239275165
3511607,Cesário Lange,SP,-23.216885050000002,-47.89379712281056
4105300,Céu Azul,PR,-25.28839635,-53.759253740638975
5205455,Cezarina,GO,-17.104532550000002,-49.7641544909346
3115904,Chácara,MG,-21.689491000000004,-43.20049842351598
2604403,Chã de Alegria,PE,-8.006876949999999,-35.22613666740965
2604502,Chã Grande,PE,-8.238546,-35.47681050900492
3116001,Chalé,MG,-20.022857000000002,-41.65232770032098
4305306,Chapada,RS,-28.095315050000004,-53.15395751070707
1705102,Chapada da Natividade,TO,-11.5150978,-47.82862371032934
1704600,Chapada de Areia,TO,-10.166437,-49.17200909818418
3116100,Chapada do Norte,MG,-17.1564005,-42.3996914374425
5103007,Chapada dos Guimarães,MT,-15.100771850000001,-55.502604108724086
3116159,Chapada Gaúcha,MG,-15.457222999999997,-45.417654148030536
5205471,Chapadão do Céu,GO,-18.383263600000003,-52.62147692165908
4204194,Chapadão do Lageado,SC,-27.58699335,-49.55618536343948
5002951,Chapadão do Sul,MS,-19.08259615,-52.7081312287048
2103208,Chapadinha,MA,-3.7725150999999997,-43.43296449931271
4204202,Chapecó,SC,-27.1111384,-52.59539961251673
2701902,Chã Preta,AL,-9.243116449999999,-36.27679760403396
3511706,Charqueada,SP,-22.525612099999996,-47.74363011687089
4305355,Charqueadas,RS,-29.9954553,-51.54870522911483
4305371,Charrua,RS,-27.948315899999997,-52.003637076112554
2303907,Chaval,CE,-3.07568865,-41.20990930749677
3557204,Chavantes,SP,-23.041639899999996,-49.733880382598315
1502509,Chaves,PA,0.01507685,-49.86591867276482
3116209,Chiador,MG,-21.980400000000003,-42.98915844780083
4305405,Chiapetta,RS,-27.983483049999997,-53.9163934360176
4105409,Chopinzinho,PR,-25.79458615,-52.41430266413826
2303931,Choró,CE,-4.79567825,-39.199441671709934
2303956,Chorozinho,CE,-4.309600550000001,-38.46866592654143
2907707,Chorrochó,BA,-9.188471149999998,-39.22012602945969
4305439,Chuí,RS,-33.6522483,-53.40952149305646
1100924,Chupinguaia,RO,-12.578837799999999,-60.88656846214164
4305447,Chuvisca,RS,-30.7670872,-51.997484917548434
4105508,Cianorte,PR,-23.7371742,-52.64124110050875
2907806,Cícero Dantas,BA,-10.5039934,-38.43848539876677
4105607,Cidade Gaúcha,PR,-23.3740314,-52.947088341416304
5205497,Cidade Ocidental,GO,-16.15387415,-47.79824179851446
2103257,Cidelândia,MA,-5.055550749999998,-47.81004649433191
4305454,Cidreira,RS,-30.138959349999997,-50.28454570602632
2907905,Cipó,BA,-11.0941267,-38.519487700608934
3116308,Cipotânea,MG,-20.915187,-43.34847860661632
4305504,Ciríaco,RS,-28.36671025,-51.908398871040504
3116407,Claraval,MG,-20.358815999999997,-47.25711750618892
3116506,Claro dos Poções,MG,-17.056865,-44.26280511643836
5103056,Cláudia,MT,-11.479047399999999,-55.06718277340272
3116605,Cláudio,MG,-20.4024855,-44.76072069080604
3511904,Clementina,SP,-21.575372549999997,-50.47409308951352
4105706,Clevelândia,PR,-26.31001225,-52.3572337069099
2908002,Coaraci,BA,-14.665980050000002,-39.56667283135086
1301209,Coari,AM,-4.0358,-63.5435671894372
2202703,Cocal,PI,-3.4317883,-41.49870325795297
2202711,Cocal de Telha,PI,-4.6140778,-41.94147240585117
2202729,Cocal dos Alves,PI,-3.6368497000000004,-41.41675707978767
4204251,Cocal do Sul,SC,-28.5998364,-49.33462398784097
5103106,Cocalinho,MT,-13.845787099999999,-51.22706715469759
5205513,Cocalzinho de Goiás,GO,-15.636141949999999,-48.630220740474826
2908101,Cocos,BA,-14.5447587,-45.264314047365225
1301308,Codajás,AM,-3.12811285,-63.20788584497891
2103307,Codó,MA,-4.618667049999999,-43.92584524485076
